REC _TITLE1 TOTAL INTER INTRA RESTR VDW
434 118707521 -11.829 -8.774 -2.921 0.000 -16.230
435 118707521 -12.819 -9.874 -2.966 0.000 -17.918
436 118707521 -13.233 -13.949 0.071 0.000 -24.426
437 118707521 -17.899 -12.978 -4.945 0.000 -23.436
438 118707521 -21.446 -16.390 -5.553 0.000 -21.967
439 118707521 -21.820 -14.342 -7.371 0.000 -16.919
440 118707521 -18.238 -14.471 -3.349 0.000 -20.643
441 118707521 -14.636 -14.917 -0.380 0.000 -20.895
442 118707521 -18.316 -10.968 -6.238 0.002 -21.368
443 118707521 -19.747 -15.554 -4.100 0.000 -19.733
444 118707521 -15.439 -12.766 -3.482 0.000 -23.164
445 118707521 -18.406 -11.041 -6.929 0.000 -19.807
446 118707521 -11.933 -8.821 -2.917 0.000 -16.565
447 118707521 -15.656 -11.357 -3.259 0.000 -20.856
448 118707521 -13.782 -11.986 -1.921 0.000 -19.608
449 118707521 -15.742 -11.779 -3.434 0.000 -20.047
450 118707521 -17.233 -10.545 -6.708 0.000 -20.547
451 91820057 -9.705 -10.505 0.360 0.000 -13.634
452 91820057 -10.563 -12.871 1.877 0.000 -15.691
453 91820057 -8.014 -11.271 2.518 0.000 -12.045
454 91820057 -12.529 -14.226 0.875 0.000 -14.446
455 91820057 -10.786 -10.645 -0.630 0.000 -12.472
456 91820057 -13.930 -15.331 2.509 0.000 -14.402
457 91820057 -13.271 -13.726 1.502 0.000 -16.404
458 91820057 -10.370 -11.597 0.497 0.000 -12.579
459 91820057 -2.211 -3.057 0.262 0.000 -13.747
460 91820057 -17.733 -16.205 -0.400 0.000 -15.502
461 91820057 -8.918 -8.142 -0.460 0.000 -9.495
462 91820057 -11.353 -12.465 0.288 0.000 -17.346
463 91820057 -15.424 -13.205 -1.222 0.000 -14.139
464 91820057 -10.344 -13.505 3.579 0.000 -14.373
465 91820057 -12.886 -14.158 0.781 0.000 -14.743
