,time,rhoeq_xtal
943,1886.0,993.102722
944,1888.0,992.478516
945,1890.0,992.303101
946,1892.0,992.551025
947,1894.0,993.355957
948,1896.0,994.339172
949,1898.0,995.344666
950,1900.0,996.2677
951,1902.0,996.299316
952,1904.0,995.552124
953,1906.0,994.552368
954,1908.0,993.542542
955,1910.0,992.795898
956,1912.0,992.116272
957,1914.0,991.681824
958,1916.0,992.174255
959,1918.0,993.213013
960,1920.0,994.475464
961,1922.0,995.64447
962,1924.0,995.799072
963,1926.0,995.111023
964,1928.0,994.105896
965,1930.0,993.16333
966,1932.0,992.55304
967,1934.0,992.403687
968,1936.0,992.572876
969,1938.0,993.176453
970,1940.0,993.830688
971,1942.0,994.367798
972,1944.0,995.05658
973,1946.0,995.735352
974,1948.0,995.642639
975,1950.0,994.941467
976,1952.0,994.090637
977,1954.0,993.374146
978,1956.0,992.955139
979,1958.0,992.896423
980,1960.0,992.953613
981,1962.0,993.095642
982,1964.0,993.641846
983,1966.0,994.38501
984,1968.0,994.823792
985,1970.0,994.930908
986,1972.0,994.862976
987,1974.0,994.577881
988,1976.0,994.225769
989,1978.0,993.871704
990,1980.0,993.659607
991,1982.0,993.816833
992,1984.0,994.154846
993,1986.0,994.590271
994,1988.0,995.074341
995,1990.0,995.203491
996,1992.0,995.031555
997,1994.0,994.640198
998,1996.0,994.201538
999,1998.0,993.762329
1000,2000.0,993.540222
1001,2002.0,993.891479
1002,2004.0,994.474915
1003,2006.0,995.034363
1004,2008.0,995.252319
1005,2010.0,995.128723
1006,2012.0,994.885376
1007,2014.0,994.650818
1008,2016.0,994.069275
1009,2018.0,993.485657
1010,2020.0,993.036255
1011,2022.0,992.912354
1012,2024.0,993.226624
1013,2026.0,993.658752
1014,2028.0,994.080811
1015,2030.0,994.601746
1016,2032.0,995.042236
1017,2034.0,995.149841
1018,2036.0,994.861267
1019,2038.0,994.466309
1020,2040.0,993.934509
1021,2042.0,993.36322
1022,2044.0,993.046448
1023,2046.0,992.768433
1024,2048.0,993.037415
1025,2050.0,993.653076
1026,2052.0,994.147766
1027,2054.0,994.376404
1028,2056.0,994.292847
1029,2058.0,993.968079
1030,2060.0,993.707092
1031,2062.0,993.764526
1032,2064.0,993.891479
1033,2066.0,994.0849
1034,2068.0,994.334167
1035,2070.0,994.690674
1036,2072.0,995.310303
1037,2074.0,995.684326
1038,2076.0,995.329041
1039,2078.0,994.396423
1040,2080.0,993.206726
1041,2082.0,992.477295
1042,2084.0,992.173157
1043,2086.0,992.391418
1044,2088.0,992.827759
1045,2090.0,993.340149
1046,2092.0,994.115967
1047,2094.0,995.063965
1048,2096.0,995.524597
1049,2098.0,995.361206
1050,2100.0,994.633423
1051,2102.0,993.62384
1052,2104.0,993.141663
1053,2106.0,993.018921
1054,2108.0,993.057617
1055,2110.0,993.178955
1056,2112.0,993.327454
1057,2114.0,993.648254
1058,2116.0,994.574402
1059,2118.0,995.280945
1060,2120.0,995.496033
1061,2122.0,995.19043
1062,2124.0,994.660278
1063,2126.0,993.837158
1064,2128.0,993.368958
1065,2130.0,993.179688
1066,2132.0,992.985413
1067,2134.0,993.128845
1068,2136.0,993.732849
1069,2138.0,994.614807
1070,2140.0,995.478271
1071,2142.0,995.884766
1072,2144.0,995.416992
1073,2146.0,994.467163
1074,2148.0,993.595703
1075,2150.0,992.963745
1076,2152.0,992.570068
1077,2154.0,992.391052
1078,2156.0,992.795105
1079,2158.0,993.606995
