,time,rhoeq_decoy
8284,16568.0,992.605286
8285,16570.0,992.907471
8286,16572.0,993.585876
8287,16574.0,994.422363
8288,16576.0,995.112122
8289,16578.0,995.539001
8290,16580.0,995.306152
8291,16582.0,994.761108
8292,16584.0,994.084045
8293,16586.0,993.597961
8294,16588.0,993.269165
8295,16590.0,993.264709
8296,16592.0,993.521729
8297,16594.0,993.824158
8298,16596.0,994.307007
8299,16598.0,994.631775
8300,16600.0,994.836914
8301,16602.0,994.795349
8302,16604.0,994.622009
8303,16606.0,994.659302
8304,16608.0,994.47821
8305,16610.0,994.125732
8306,16612.0,993.931519
8307,16614.0,993.937439
8308,16616.0,994.351318
8309,16618.0,994.715149
8310,16620.0,994.734497
8311,16622.0,994.34021
8312,16624.0,993.916382
8313,16626.0,993.291931
8314,16628.0,993.045776
8315,16630.0,993.100281
8316,16632.0,993.230774
8317,16634.0,993.336182
8318,16636.0,993.421997
8319,16638.0,993.716064
8320,16640.0,994.107483
8321,16642.0,994.514282
8322,16644.0,994.750061
8323,16646.0,994.573486
8324,16648.0,994.179138
8325,16650.0,993.804138
8326,16652.0,993.832214
8327,16654.0,994.203369
8328,16656.0,994.409302
8329,16658.0,994.453308
8330,16660.0,993.965698
8331,16662.0,993.442932
8332,16664.0,993.397644
8333,16666.0,993.427979
8334,16668.0,993.649414
8335,16670.0,994.079224
8336,16672.0,994.680908
8337,16674.0,995.162659
8338,16676.0,995.609253
8339,16678.0,995.679016
8340,16680.0,995.163574
8341,16682.0,994.172668
8342,16684.0,993.375305
8343,16686.0,992.858276
8344,16688.0,992.825867
8345,16690.0,993.131042
8346,16692.0,993.736938
8347,16694.0,994.34668
8348,16696.0,994.721924
8349,16698.0,995.220825
8350,16700.0,995.630981
8351,16702.0,995.558472
8352,16704.0,995.036316
8353,16706.0,994.414856
8354,16708.0,993.865479
8355,16710.0,993.742798
8356,16712.0,993.865356
8357,16714.0,993.774902
8358,16716.0,993.669922
8359,16718.0,993.683655
8360,16720.0,994.144348
8361,16722.0,994.824463
8362,16724.0,995.287842
8363,16726.0,995.375122
8364,16728.0,994.815674
8365,16730.0,994.07135
8366,16732.0,993.347046
8367,16734.0,992.725159
8368,16736.0,992.476074
8369,16738.0,992.59613
8370,16740.0,993.015442
8371,16742.0,993.750183
8372,16744.0,994.5578
8373,16746.0,995.236328
8374,16748.0,995.68634
8375,16750.0,995.727783
8376,16752.0,995.371521
8377,16754.0,994.516418
8378,16756.0,993.617249
8379,16758.0,992.638
8380,16760.0,991.828552
8381,16762.0,991.672119
8382,16764.0,992.142456
8383,16766.0,993.380249
8384,16768.0,994.610962
8385,16770.0,995.458374
8386,16772.0,995.780273
8387,16774.0,995.608704
8388,16776.0,994.913147
8389,16778.0,994.14624
8390,16780.0,993.257629
8391,16782.0,992.475647
8392,16784.0,992.308533
8393,16786.0,992.683594
8394,16788.0,993.164062
8395,16790.0,993.743347
8396,16792.0,994.291748
8397,16794.0,994.425476
8398,16796.0,993.949707
8399,16798.0,993.645508
8400,16800.0,993.3479
8401,16802.0,993.385376
8402,16804.0,993.606995
8403,16806.0,994.080872
8404,16808.0,994.423096
8405,16810.0,994.857605
8406,16812.0,995.217529
8407,16814.0,994.896057
8408,16816.0,994.023926
8409,16818.0,993.305359
8410,16820.0,992.847351
8411,16822.0,992.829529
8412,16824.0,993.13916
8413,16826.0,993.400391
8414,16828.0,993.711731
8415,16830.0,994.077148
8416,16832.0,994.521606
8417,16834.0,994.950867
8418,16836.0,995.148193
8419,16838.0,994.80835
8420,16840.0,994.057556
