,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
446,82.csv : ,1,-8.83,-8.09,21,29
398,458.csv : ,1,-8.83,-8.15,17,20
384,445.csv : ,1,-8.83,-8.32,5,48
286,357.csv : ,1,-8.85,-8.46,15,8
262,335.csv : ,1,-8.86,-8.47,18,12
118,205.csv : ,1,-8.87,-8.22,17,1
26,122.csv : ,1,-8.88,-8.52,3,36
0,1.csv : ,1,-8.88,-8.18,13,1
395,455.csv : ,1,-8.90,-8.22,17,38
338,403.csv : ,1,-8.91,-8.12,17,48
460,95.csv : ,1,-8.91,-8.57,15,47
253,327.csv : ,1,-8.94,-8.18,8,32
377,439.csv : ,1,-8.95,-8.65,32,18
77,169.csv : ,1,-8.95,-8.30,25,15
339,404.csv : ,1,-8.95,-8.21,2,30
296,366.csv : ,1,-8.95,-8.07,20,25
368,430.csv : ,1,-8.96,-8.56,45,19
31,127.csv : ,1,-8.97,-8.20,28,40
421,6.csv : ,1,-8.97,-8.00,13,6
410,5.csv : ,1,-8.98,-8.04,8,13
141,226.csv : ,1,-8.98,-8.35,22,11
64,157.csv : ,1,-9.00,-8.49,41,9
441,78.csv : ,1,-9.00,-9.00,1,27
295,365.csv : ,1,-9.01,-8.05,21,40
399,459.csv : ,1,-9.02,-8.03,19,9
9,107.csv : ,1,-9.03,-8.09,9,41
202,281.csv : ,1,-9.03,-8.70,27,42
364,427.csv : ,1,-9.05,-8.43,38,33
242,317.csv : ,1,-9.06,-8.82,12,4
334,40.csv : ,1,-9.07,-8.54,4,9
402,461.csv : ,1,-9.07,-8.76,13,50
149,233.csv : ,1,-9.07,-8.44,26,12
261,334.csv : ,1,-9.08,-8.53,16,26
458,93.csv : ,1,-9.09,-8.52,35,3
217,295.csv : ,1,-9.09,-8.92,19,38
274,346.csv : ,1,-9.10,-8.91,49,15
265,338.csv : ,1,-9.10,-8.85,28,38
52,146.csv : ,1,-9.11,-7.53,13,30
49,143.csv : ,1,-9.11,-8.65,6,15
51,145.csv : ,1,-9.12,-8.44,9,9
99,189.csv : ,1,-9.12,-8.33,3,45
447,83.csv : ,1,-9.12,-8.32,8,34
