"Index","pIC50"
125,3.34068503245595
358,3.34029555587851
196,3.3346460128559
101,3.30952547555505
6,3.30814818282859
258,3.29817586466463
126,3.29475775061318
134,3.28716473767324
439,3.28603207108338
4,3.26526193403195
398,3.25408032781618
211,3.23423308793288
114,3.23410653866683
171,3.20584426485315
202,3.20527879340756
203,3.19175433289792
112,3.18013809779158
274,3.176390431403
431,3.1702278102432
422,3.1675810182614
344,3.15826680829413
454,3.15597841421809
256,3.14397457758399
257,3.14397457758399
265,3.14397457758399
70,3.14146797910234
71,3.14038166073394
263,3.13851340600166
418,3.13516867629413
275,3.13266518890913
185,3.1324996840049
266,3.12402995735538
262,3.1071311276559
430,3.10487254166677
432,3.10487254166677
169,3.10234519779329
204,3.0715235358447
423,3.06771713807808
252,3.06565992347257
345,3.05673318612215
267,3.04889081430105
99,3.0488879499421
343,3.04806341141183
184,3.03403080497354
364,3.02543061721063
13,3.02215532406935
15,3.01943975322656
194,3.01645511195682
382,3.00439408511238
276,2.99996264028463
450,2.99275013587747
233,2.98764019587837
201,2.98300398743942
176,2.9728556204002
220,2.96902035938091
221,2.96902035938091
14,2.96468186144311
365,2.95979905219818
69,2.95738155591476
446,2.95681899701654
234,2.95632221390649
445,2.95262823427735
447,2.95262823427735
303,2.94405865948853
140,2.94166429946706
273,2.94166429946706
366,2.93379514526725
264,2.93013367460495
373,2.92371513690005
166,2.90235185201488
384,2.89643894459264
35,2.89477826798565
374,2.89040552219299
215,2.88464342305756
337,2.87899001161285
375,2.86687932939318
216,2.86087063275065
458,2.85289367545083
440,2.84808071075074
448,2.84250285267967
198,2.84156862403771
402,2.84057799224144
42,2.82771796568085
459,2.81941757973015
40,2.79762030352105
339,2.78960213420343
380,2.78264275391998
296,2.75662304196941
295,2.74988430364784
338,2.74613784194618
38,2.71439896564037
251,2.71360603776794
229,2.6975404537543
401,2.69451451908749
407,2.67913921401561
455,2.66804899594154
232,2.66121945300115
456,2.65534766795661
421,2.65029760455483
297,2.64240706585587
167,2.63855267938751
168,2.63614989733041
383,2.63586761547709
416,2.62972237794098
36,2.62584095739058
381,2.62076083729058
441,2.61595918331685
214,2.59615513665652
400,2.57899244718524
210,2.53521687344044
415,2.53228885235788
341,2.52725452800669
250,2.52262444443753
300,2.5124216110388
405,2.5030594587339
182,2.47689240222516
247,2.47353702813083
39,2.44080111957525
379,2.42925107957368
420,2.42550034372731
301,2.41624798303971
437,2.40714611242237
342,2.39770127070147
298,2.39087797211286
299,2.39045130635411
302,2.38182433952903
443,2.37262749548919
406,2.36092482595304
419,2.31204164175293
428,2.28792271716797
444,2.27625806825094
340,2.26653668134646
98,2.26097168585695
372,2.25974516596041
442,2.24386781587625
460,2.20114113822179
408,2.15865581179339
370,2.14320656202954
148,2.12340564693107
464,2.10125726940579
41,2.10109915733136
34,2.06790999167554
222,2.03943917260052
429,2.0222019656768
427,2.00658966662542
403,1.99727220958742
436,1.97423297296603
224,1.97255943438127
371,1.96931141182516
438,1.95726193468476
404,1.93791348227011
225,1.9044100157904
206,1.8605337870308
219,1.85674297110765
218,1.83023654814137
212,1.81796854757942
208,1.81596201771419
248,1.7444597795258
465,1.69965495145656
231,1.69497869708935
463,1.68564527964089
217,1.67320613334468
213,1.64692219150238
332,1.64265003539727
249,1.6177664388539
331,1.59086579330919
333,1.58592890692646
330,1.56595722394139
409,1.55617730745523
328,1.54485256387745
411,1.51885535854475
410,1.51590353892854
329,1.51581940350741
65,1.48743722153472
66,1.45482664930489
64,1.41763919052588
435,1.13116774369005
433,0.790843855843356
434,0.691593673044222
