REC _TITLE1 TOTAL INTER INTRA RESTR VDW
381 91820057 -6.362 -9.518 -0.441 0.000 -10.935
382 91820057 -11.110 -12.406 -0.438 0.000 -15.985
383 91820057 -5.468 -6.367 -1.489 0.000 -10.995
384 91820057 -8.582 -10.961 -0.754 0.000 -12.847
385 91820057 0.932 -7.818 0.564 0.000 -13.459
386 91820057 -8.105 -9.979 0.114 0.000 -13.425
387 91820057 -4.039 -5.639 -0.158 0.000 -9.251
388 91820057 -7.277 -9.677 -1.233 0.000 -15.043
389 91820057 -4.579 -11.448 -0.689 0.000 -12.571
390 91820057 -9.178 -8.617 -2.317 0.000 -10.136
391 91820057 -6.178 -7.725 -0.849 0.000 -13.044
392 91820057 -12.039 -12.423 -1.359 0.000 -13.049
393 91820057 -6.150 -12.138 -1.544 0.000 -13.335
394 91820057 -5.641 -7.375 -0.008 0.000 -12.427
395 91820057 -6.109 -8.179 0.336 0.000 -14.571
396 91820057 -5.138 -8.374 -0.010 0.000 -14.342
397 91820057 -6.911 -9.631 -1.091 0.000 -11.855
398 91820057 -8.517 -12.165 -0.262 0.000 -13.136
399 91820057 -6.290 -7.595 -0.453 0.000 -9.196
400 91820057 -2.382 -3.304 -0.811 0.000 -9.542
401 90659182 -9.023 -7.173 -3.767 0.000 -11.386
402 90659182 -3.151 -3.910 -3.151 0.000 -9.551
403 90659182 -4.073 -2.248 -3.559 0.000 -8.499
404 90659182 -1.925 -3.241 -2.638 0.000 -12.141
405 90659182 -4.788 -3.089 -5.502 0.000 -10.181
406 90659182 -2.919 -10.035 -1.914 0.000 -12.607
407 90659182 -7.553 -10.274 -2.464 0.000 -14.303
408 90659182 -9.944 -7.801 -4.541 0.000 -12.034
409 90659182 -11.138 -11.554 -1.350 0.000 -14.192
410 90659182 -8.673 -8.933 -2.133 0.000 -11.360
411 90659182 -9.024 -8.742 -2.073 0.000 -10.152
412 90659182 -4.797 -11.393 -2.352 0.000 -12.457
413 90659182 -4.256 -5.098 -1.545 0.000 -9.640
414 90659182 -6.987 -6.282 -3.145 0.000 -9.798
415 90659182 -8.738 -8.178 -2.292 0.000 -10.664
416 90659182 -4.032 -6.556 -0.868 0.000 -10.738
417 90659182 -9.651 -9.404 -5.239 0.000 -11.483
418 90659182 -4.553 -6.207 -3.038 0.000 -10.806
419 90659182 -11.465 -7.613 -6.247 0.000 -13.429
420 90659182 -8.745 -10.573 -2.095 0.000 -14.339
421 90659182 -6.859 -5.907 -2.765 0.000 -10.495
422 90659182 -11.170 -9.839 -4.779 0.000 -11.280
423 90659182 1.414 -5.306 -0.827 0.000 -11.899
424 90659182 -9.684 -8.801 -3.278 0.000 -9.882
425 90659182 -5.804 -4.689 -2.871 0.000 -12.075
426 90659182 -5.909 -6.448 -2.591 0.000 -11.373
427 90659182 -6.324 -6.364 -3.872 0.000 -12.552
428 90659182 -13.838 -10.575 -5.010 0.000 -13.219
429 90659182 4.233 -6.168 1.342 0.000 -10.636
430 90659182 -7.251 -7.525 -2.867 0.000 -11.384
431 90659182 -3.525 -3.393 -3.274 0.000 -12.856
432 90659182 -7.460 -7.163 -4.318 0.000 -11.788
433 90659182 -7.497 -6.431 -2.809 0.000 -11.199
434 90659182 -9.446 -8.024 -5.016 0.000 -12.581
435 90659182 -6.573 -5.919 -2.393 0.000 -11.915
436 90659182 -7.639 -8.416 -2.489 0.000 -10.629
437 90659182 -5.852 -6.217 -2.865 0.000 -10.513
438 90659182 -4.710 -6.913 0.450 0.000 -9.530
439 90659182 -1.468 -8.717 -2.524 0.000 -13.813
440 90659182 -0.247 0.007 -1.994 0.000 -9.393
441 90659182 -12.746 -9.294 -5.231 0.000 -11.467
442 90659182 -5.848 -4.520 -5.120 0.000 -13.365
443 90659182 -11.086 -10.662 -3.774 0.000 -13.885
444 90659182 -9.020 -10.848 -0.558 0.000 -13.196
445 90659182 -7.796 -6.044 -4.176 0.000 -11.743
446 90659182 -9.229 -6.909 -4.060 0.000 -10.714
447 90659182 -8.511 -7.827 -2.430 0.000 -12.349
448 90659182 -6.586 -4.563 -5.915 0.000 -12.035
449 90659182 -3.602 -4.994 -2.414 0.008 -12.274
450 90659182 -5.925 -7.028 -2.787 0.000 -10.491
451 90659182 -3.999 -3.760 -3.476 0.000 -10.109
452 90659182 -4.566 -3.480 -3.578 0.000 -9.738
453 90659182 -6.360 -8.666 -0.945 0.000 -9.162
454 90659182 -4.664 -3.810 -4.012 0.000 -10.805
455 90659182 -1.230 -2.622 -2.316 0.000 -10.456
456 90659182 -3.115 -4.876 -2.086 0.001 -14.936
457 90659182 -3.178 -7.527 -3.198 0.000 -12.661
458 90659182 -4.812 -6.713 -1.232 0.000 -9.512
459 90659182 -8.313 -8.564 -1.492 0.000 -12.823
460 90659182 -4.881 -5.927 -0.719 0.000 -11.697
461 90659182 -3.932 -4.246 -2.822 0.000 -11.593
462 90659182 -0.420 -5.791 -2.812 0.000 -12.834
463 90659182 -5.609 -7.659 -1.827 0.068 -11.250
464 90659182 -4.161 -4.379 -3.026 0.000 -10.651
