,q_2c,d_2c,f_2c,ECR,Molecule
118,0.0010120955722902195,0.004535897664470626,0.0074784309611317535,0.0130264241978926,119
128,0.0039040833000576584,0.0037136789107166937,0.005012942186140188,0.012630704396914539,129
33,0.00027582822103803856,0.005824207888674849,0.006122821412649095,0.012222857522361982,34
154,0.0005025917872316793,0.0014362319827119717,0.01009482589973277,0.01203364966967642,155
98,0.0002258290471306333,0.006436745179390212,0.005269961228093216,0.011932535454614061,99
44,0.0001066740885018854,0.0033602756369874877,0.008264944411079327,0.0117318941365687,45
114,0.00786185831568138,0.00353256065302148,2.9072080609687777e-05,0.011423491049312546,115
69,7.517195964887862e-05,0.011156508007421491,0.00014399495790441214,0.011375674924974781,70
101,0.0005839283485197721,0.008264944411079327,0.0024893534183931974,0.011338226177992298,102
82,0.002892216043741923,0.0067667641618306355,0.001366186122364628,0.011025166327937186,83
86,0.0031963930603353787,0.0010120955722902195,0.0067667641618306355,0.010975252794456235,87
48,0.00111853859280828,0.005012942186140188,0.004768458110777481,0.010899938889725949,49
46,0.0001014715318147867,0.010612398691337153,3.732929041883396e-05,0.010751199513570774,47
4,0.004768458110777481,0.001509869171115925,0.0039040833000576584,0.010182410581951063,5
45,0.00011214338597429017,0.002892216043741923,0.007113703579325679,0.010118063009041892,46
130,0.004314679324968524,0.0012361763235169694,0.004314679324968524,0.009865534973454018,131
96,0.00039141887746128867,0.002142606343352009,0.005824207888674849,0.008358233109488147,97
100,0.00019437286217380653,0.00786185831568138,0.00013697224093841843,0.008193203418793604,101
19,0.00225246011967789,0.005269961228093216,0.0005025917872316793,0.008025013135002786,20
84,0.0023679462195570463,0.005540157918116693,7.902610843681085e-05,0.00798713024611055,85
75,0.006436745179390212,0.00023740754997057388,0.0005554498269121153,0.007229602556272901,76
54,0.0007497788410238852,0.006122821412649095,3.2129618017777894e-05,0.006904729871690759,55
70,0.005012942186140188,0.001366186122364628,4.793175768470099e-05,0.006427060066189517,71
16,0.005269961228093216,0.0005554498269121153,0.0004325847601560317,0.0062579958151613635,17
77,0.004535897664470626,0.0004325847601560317,5.038927145242552e-05,0.005018871696079083,78
50,0.0009157819444367089,0.0007497788410238852,0.003040503131260899,0.004706063916721493,51
134,0.0003204666723128192,0.00410424993119494,2.1537127028784376e-05,0.004446253730536543,135
90,0.0037136789107166937,3.377693875969222e-05,3.5508719442127454e-05,0.003782964568918513,91
9,0.0027511610028203614,0.0003048373282757819,0.0007132116954499628,0.0037692100265461063,10
148,0.00011789310032451164,0.0001014715318147867,0.0031963930603353787,0.003415757692474677,149
26,0.0018441583700620008,0.0007132116954499628,0.0008286337700880627,0.0033860038356000265,27
153,0.0012361763235169694,0.0020381101989183107,6.47011052732924e-05,0.003338987627708573,154
6,0.002616985297421619,9.652270681138547e-05,0.0006138669951534218,0.003327374999386426,7
127,8.733735681305598e-05,0.00011789310032451164,0.002616985297421619,0.0028222157545591867,128
152,0.00015137773726879076,0.00041148735245100153,0.0019387103915861005,0.002501575481305893,153
124,2.502257167203054e-05,0.0003541704464526059,0.0020381101989183107,0.002417303217042947,125
92,0.0017542177050422513,0.0006138669951534218,3.924320406554658e-05,0.0024073279042612196,93
151,0.0003048373282757819,0.001587281818903397,4.3370447865350125e-05,0.001935489595044529,152
145,0.0006453406290239936,0.0011758872928004553,7.150577991539372e-05,0.0018927337017398426,146
43,0.000962735088769346,0.0002899702363421071,0.00024957969534551087,0.0015022850204569642,44
21,0.0004547638550847908,0.000962735088769346,5.5688757392240165e-05,0.001473187701246377,22
32,0.0002899702363421071,0.0010639868219188583,0.00011789310032451164,0.001471850158585477,33
58,6.80184018773947e-05,0.00026237591995906923,0.000962735088769346,0.0012931294106058098,59
67,4.559409827772581e-05,0.00012393760883331792,0.0010120955722902195,0.0011816272794012632,68
18,0.0007132116954499628,0.00039141887746128867,4.559409827772581e-05,0.0011502246711889773,19
