Ligand,Affinity
Lig115,-2.95866799
Lig115,-2.93198133
Lig115,-2.92183876
Lig115,-2.851717
Lig115,-2.82061577
Lig116,-6.05864382
Lig116,-5.2598505
Lig116,-4.94881058
Lig116,-4.61564875
Lig116,-4.5997715
Lig116,-4.34044027
Lig116,-4.2183013
Lig116,-4.1810894
Lig116,-4.12824631
Lig116,-4.04749918
Lig116,-3.92560625
Lig116,-3.81770062
Lig116,-3.79510403
Lig116,-3.73198938
Lig116,-3.68036389
Lig116,-3.67320919
Lig116,-3.608814
Lig116,-3.55465865
Lig116,-3.54531479
Lig116,-3.50972319
Lig116,-3.49702501
Lig116,-3.44040608
Lig116,-3.39843416
Lig116,-3.34805918
Lig116,-3.33305287
Lig116,-3.28204894
Lig116,-3.22233915
Lig116,-3.21022773
Lig116,-3.19386649
Lig116,-3.18334556
Lig116,-3.16473103
Lig116,-3.15967155
Lig116,-3.15599298
Lig116,-3.08783984
Lig116,-3.08734345
Lig116,-3.07808185
Lig116,-3.06145501
Lig117,-5.85560608
Lig117,-5.78016758
Lig117,-4.63196373
Lig117,-4.61741447
Lig117,-4.61304426
Lig117,-4.46802902
Lig117,-4.44491816
Lig117,-4.43409014
Lig117,-4.08646727
Lig117,-4.01452494
Lig117,-4.00922298
Lig117,-3.97667766
Lig117,-3.97308612
Lig117,-3.9391675
Lig117,-3.90562725
Lig117,-3.89814425
Lig117,-3.87734604
Lig117,-3.85974956
Lig117,-3.74920201
Lig117,-3.69634628
Lig117,-3.65329981
Lig117,-3.60587072
Lig117,-3.5895977
Lig117,-3.52846932
Lig117,-3.5021615
Lig117,-3.48518085
Lig117,-3.43889785
Lig117,-3.40587211
Lig117,-3.3958807
Lig117,-3.38134408
Lig117,-3.34755945
Lig117,-3.34497976
Lig117,-3.3359735
Lig117,-3.33137131
Lig117,-3.31408668
Lig117,-3.26839995
Lig117,-3.25235462
Lig117,-3.18266273
Lig117,-3.17848563
Lig117,-3.15865946
Lig117,-3.12552714
Lig117,-3.09732819
Lig117,-2.95460892
Lig117,-2.9456706
Lig117,-2.88298368
Lig117,-2.8738358
Lig118,-5.45168591
Lig118,-4.92874098
Lig118,-4.87978506
Lig118,-4.5258832
Lig118,-4.45107937
Lig118,-4.42846823
Lig118,-4.29086781
Lig118,-4.22097683
