,LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
353,ZINC000100815672_entry_00354_conf_01,-74.8147,-56.8147,-2.9925900000000003,-25.5863,-0.204801,-10.4657,-19.4304,-2.5798200000000002,2301266,8.74187
150,2801971_entry_00151_conf_01,-74.69800000000001,-58.698,-3.3953599999999997,-26.6584,-0.239934,-11.0214,-20.9483,-2.873,1845925,6.38591
141,5284365_entry_00142_conf_01,-74.4267,-52.4267,-3.72134,-27.419,-0.237256,-10.9536,-19.3142,-3.10111,2672343,9.99349
312,ZINC000015205946_entry_00313_conf_01,-74.275,-58.275,-3.09479,-25.7497,-0.216986,-10.6179,-20.2028,-2.65268,2004002,7.48575
68,45266741_entry_00069_conf_01,-74.2511,-62.2511,-6.18759,-32.4321,-0.41208900000000004,-13.1462,-27.1907,-4.36771,869945,2.35506
350,ZINC000100656214_entry_00351_conf_01,-74.2104,-56.2104,-3.3732,-26.4844,-0.238367,-10.9494,-20.0605,-2.8542400000000003,2182204,7.63718
367,ZINC000101361998_entry_00368_conf_01,-74.1951,-52.1951,-2.55845,-24.1496,-0.18391500000000002,-10.0413,-16.9888,-2.47317,3358738,14.2945
175,445621_entry_00176_conf_01,-74.1539,-62.1539,-6.17949,-32.3897,-0.41155,-13.129000000000001,-27.1482,-4.3619900000000005,849447,2.39601
48,49802606_entry_00049_conf_01,-74.0702,-58.0702,-4.11501,-28.2631,-0.269164,-11.3877,-22.1579,-3.22045,1505581,4.76227
241,112106_entry_00242_conf_01,-74.0678,-58.0678,-2.96271,-25.3308,-0.213232,-10.5367,-19.8589,-2.5540599999999998,1908706,7.05417
264,35717_entry_00265_conf_01,-74.0199,-62.0199,-4.93466,-30.0136,-0.33461399999999997,-12.239,-25.1479,-3.701,1009571,2.8947700000000003
348,ZINC000100656214_entry_00349_conf_01,-73.9535,-57.9535,-3.3615199999999996,-26.3927,-0.237542,-10.9115,-20.6826,-2.84436,2004895,6.83558
255,84265_entry_00256_conf_01,-73.8885,-61.8885,-4.9259,-29.9603,-0.33402,-12.2173,-25.0946,-3.69443,973526,2.76972
35,52948856_entry_00036_conf_01,-73.8213,-43.8213,-2.05059,-22.357,-0.148947,-9.32821,-13.2714,-1.99517,5234484,27.7141
293,ZINC000003956714_entry_00294_conf_01,-73.8018,-57.8018,-3.3546300000000002,-26.3386,-0.23705500000000002,-10.8892,-20.6285,-2.83853,1982527,6.880510000000001
366,ZINC000101361998_entry_00367_conf_01,-73.4892,-49.4892,-2.5341099999999996,-23.9198,-0.18216500000000002,-9.94575,-16.1081,-2.2965400000000002,3829502,17.2079
244,102416_entry_00245_conf_01,-73.3307,-57.3307,-3.05544,-25.4223,-0.214227,-10.4829,-19.8754,-2.61895,2079775,7.64915
41,52944903_entry_00042_conf_01,-73.33,-47.33,-2.15676,-22.6354,-0.156832,-9.44784,-14.6098,-1.9297400000000002,4450962,21.6723
256,84265_entry_00257_conf_01,-73.2901,-61.2901,-4.88601,-29.7177,-0.331315,-12.1184,-24.8519,-3.66451,996158,2.83192
44,51351654_entry_00045_conf_01,-73.1884,-59.1884,-4.574269999999999,-29.0448,-0.283428,-11.4932,-23.4889,-3.48516,1253417,3.8762800000000004
95,24779679_entry_00096_conf_01,-73.1123,-53.1123,-3.4815400000000003,-26.5003,-0.238683,-10.8459,-19.2511,-2.92449,2612270,9.250169999999999
143,5284365_entry_00144_conf_01,-73.0441,-51.0441,-3.6522099999999997,-26.9097,-0.23210300000000003,-10.7387,-18.8048,-2.92176,2811395,10.7811
402,ZINC000252694384_entry_00403_conf_01,-73.0125,-47.0125,-3.17446,-25.6737,-0.218982,-10.5293,-16.5312,-2.80817,4387018,17.0425
67,45266741_entry_00068_conf_01,-72.952,-60.952,-6.079330000000001,-31.8647,-0.40488,-12.9162,-26.6232,-4.29129,866186,2.35059
49,49802606_entry_00050_conf_01,-72.9333,-56.9333,-4.05185,-27.8293,-0.265033,-11.2129,-21.7241,-3.17101,1603752,5.01978
291,ZINC000003956714_entry_00292_conf_01,-72.9012,-56.9012,-3.3136900000000002,-26.0172,-0.23416199999999998,-10.7563,-20.3071,-2.80389,1995751,6.82615
151,2801971_entry_00152_conf_01,-72.8565,-56.8565,-3.31166,-26.0012,-0.23401799999999998,-10.7497,-20.2911,-2.8021700000000003,2018740,6.77462
259,82398_entry_00260_conf_01,-72.845,-56.845,-3.0352099999999997,-25.254,-0.212808,-10.4135,-19.7071,-2.60161,2059264,7.57353
242,112106_entry_00243_conf_01,-72.6829,-56.6829,-2.90732,-24.8572,-0.209245,-10.3397,-19.3853,-2.50631,1897041,7.073910000000001
240,112106_entry_00241_conf_01,-72.676,-58.676,-2.9070400000000003,-24.8548,-0.209225,-10.3387,-20.0669,-2.5060700000000002,1657876,5.88852
22,57339292_entry_00023_conf_01,-72.6657,-52.6657,-3.63329,-26.7703,-0.246962,-10.9252,-19.4022,-2.90663,2486670,8.97457
455,ZINC000616583702_entry_00456_conf_01,-72.6522,-50.6522,-3.6326099999999997,-26.7653,-0.249373,-10.9593,-18.6604,-3.02718,2846204,10.1444
84,25243963_entry_00085_conf_01,-72.615,-58.615,-3.8218400000000003,-27.2129,-0.24272,-10.8572,-21.9663,-3.1571700000000003,1510488,4.7596300000000005
144,4282259_entry_00145_conf_01,-72.5487,-58.5487,-3.4547,-26.296,-0.244024,-10.87,-21.2216,-3.0228599999999997,1609133,5.16611
439,ZINC000575124647_entry_00440_conf_01,-72.4694,-54.4694,-4.02608,-27.6523,-0.275248,-11.3069,-20.784000000000002,-3.29406,1927125,6.20713
