Number,Molecule,Affinity
581,Lig111,-4.24418736
582,Lig111,-4.23832989
583,Lig111,-4.22387648
584,Lig111,-4.18419933
585,Lig111,-4.18275976
586,Lig111,-4.12740993
587,Lig111,-4.0742116
588,Lig111,-4.05906439
589,Lig111,-4.04844666
590,Lig111,-4.02214098
591,Lig111,-4.0010581
592,Lig111,-3.97814894
593,Lig111,-3.94374728
594,Lig111,-3.94116902
595,Lig111,-3.92871928
596,Lig111,-3.79853225
597,Lig111,-3.77404022
598,Lig111,-3.68532467
599,Lig111,-3.6803472000000004
600,Lig111,-3.64894676
601,Lig111,-3.61897755
602,Lig111,-3.60846472
603,Lig111,-3.53466606
604,Lig111,-3.47187924
605,Lig111,-3.41828775
606,Lig111,-3.4172553999999997
607,Lig111,-3.38153362
608,Lig111,-3.3786912000000004
609,Lig111,-3.36262941
610,Lig111,-3.34786916
611,Lig111,-3.32112169
612,Lig111,-3.29464936
613,Lig111,-3.24557853
614,Lig111,-3.23777556
615,Lig111,-3.18644881
616,Lig111,-3.15995812
617,Lig111,-3.1411612
618,Lig111,-3.13561344
619,Lig111,-3.12666821
620,Lig111,-3.11972356
621,Lig111,-3.09749341
622,Lig111,-3.09146929
623,Lig111,-3.03105855
624,Lig111,-3.01221442
625,Lig111,-3.00478482
626,Lig112,-5.37489891
627,Lig112,-4.74871492
628,Lig112,-4.55331278
629,Lig112,-4.26791573
630,Lig112,-4.2521615
631,Lig112,-4.24713802
632,Lig112,-4.20661879
633,Lig112,-4.06277847
634,Lig112,-4.01435995
635,Lig112,-3.85071492
636,Lig112,-3.7747786
637,Lig112,-3.75793672
638,Lig112,-3.7530097999999996
639,Lig112,-3.71347213
640,Lig112,-3.69391775
641,Lig112,-3.63410115
642,Lig112,-3.61064959
643,Lig112,-3.58866262
644,Lig112,-3.53373504
645,Lig112,-3.52508116
646,Lig112,-3.46702766
647,Lig112,-3.44583464
648,Lig112,-3.43384624
649,Lig112,-3.3830862
650,Lig112,-3.32500029
651,Lig112,-3.31425643
652,Lig112,-3.23506141
653,Lig112,-3.21901822
654,Lig112,-3.14835048
655,Lig112,-3.12439322
656,Lig112,-3.12158179
657,Lig112,-3.07020783
658,Lig112,-3.06436968
659,Lig112,-3.05119848
660,Lig112,-3.0386622
661,Lig112,-2.93505692
662,Lig112,-2.92292213
663,Lig112,-2.90512872
664,Lig112,-2.90161419
665,Lig112,-2.90075421
666,Lig112,-2.86114621
667,Lig112,-2.85102606
668,Lig112,-2.80043197
669,Lig112,-2.80028892
670,Lig112,-2.79837584
671,Lig112,-2.77982283
672,Lig112,-2.75348067
673,Lig112,-2.75151753
674,Lig112,-2.64268589
675,Lig112,-2.5833918999999996
676,Lig113,-5.18840837
677,Lig113,-4.98590899
678,Lig113,-4.39090681
679,Lig113,-4.38362455
680,Lig113,-4.31152201
681,Lig113,-4.22043037
682,Lig113,-4.19483852
683,Lig113,-4.13500214
684,Lig113,-4.05662823
685,Lig113,-4.00778341
686,Lig113,-3.93958688
687,Lig113,-3.93737555
688,Lig113,-3.90597653
689,Lig113,-3.89805532
690,Lig113,-3.89731145
691,Lig113,-3.70127583
692,Lig113,-3.66672587
693,Lig113,-3.63925409
694,Lig113,-3.62810206
695,Lig113,-3.52795601
696,Lig113,-3.51469755
697,Lig113,-3.51258159
698,Lig113,-3.49236226
699,Lig113,-3.39724755
700,Lig113,-3.37876105
701,Lig113,-3.3403604
702,Lig113,-3.32541013
703,Lig113,-3.31707382
704,Lig113,-3.29236412
705,Lig113,-3.27227712
706,Lig113,-3.23595381
707,Lig113,-3.19540262
708,Lig113,-3.17808795
709,Lig113,-3.16944623
710,Lig113,-3.1493504
711,Lig113,-3.13547826
712,Lig113,-3.11402178
713,Lig113,-3.07100868
714,Lig113,-3.04750633
715,Lig113,-3.04336166
716,Lig113,-3.02719998
717,Lig113,-3.01588798
718,Lig113,-3.01134777
719,Lig113,-2.99594283
720,Lig113,-2.99454021
721,Lig113,-2.96391153
722,Lig113,-2.9070251
723,Lig113,-2.82403708
724,Lig113,-2.79904699
725,Lig113,-2.79855204
726,Lig114,-5.70150566
727,Lig114,-5.12841225
728,Lig114,-4.9915781
729,Lig114,-4.98793173
730,Lig114,-4.56200027
731,Lig114,-4.52325153
732,Lig114,-4.47005558
733,Lig114,-4.13505316
734,Lig114,-4.08672142
735,Lig114,-4.02491856
736,Lig114,-3.9837687000000006
737,Lig114,-3.93640232
738,Lig114,-3.80012012
739,Lig114,-3.76982784
740,Lig114,-3.75366616
741,Lig114,-3.73060107
742,Lig114,-3.72176313
743,Lig114,-3.71009302
744,Lig114,-3.61381769
745,Lig114,-3.50645876
746,Lig114,-3.4312737
747,Lig114,-3.40969586
748,Lig114,-3.39618993
749,Lig114,-3.3635428
750,Lig114,-3.36220217
751,Lig114,-3.35659099
752,Lig114,-3.32649064
753,Lig114,-3.28515601
754,Lig114,-3.26652098
755,Lig114,-3.1641984
756,Lig114,-3.13621759
757,Lig114,-3.13228512
758,Lig114,-3.08075237
759,Lig114,-3.07099915
760,Lig114,-3.06987214
761,Lig114,-3.02280545
762,Lig114,-3.01199508
763,Lig114,-2.97746944
764,Lig114,-2.97404909
765,Lig114,-2.96070528
766,Lig114,-2.95440006
767,Lig114,-2.9449966
768,Lig114,-2.93362069
769,Lig114,-2.91623473
770,Lig114,-2.90747094
771,Lig114,-2.86813021
772,Lig114,-2.8624443999999998
773,Lig114,-2.7804717999999995
774,Lig114,-2.77024627
775,Lig114,-2.73684573
776,Lig115,-4.80602312
777,Lig115,-4.29003477
778,Lig115,-4.21527719
779,Lig115,-4.19817257
780,Lig115,-4.16860867
781,Lig115,-4.1672411
782,Lig115,-4.11103439
783,Lig115,-3.98231483
784,Lig115,-3.98187566
785,Lig115,-3.89441514
786,Lig115,-3.79715824
787,Lig115,-3.74740434
788,Lig115,-3.74123549
789,Lig115,-3.7357986000000003
790,Lig115,-3.70558286
791,Lig115,-3.68003488
792,Lig115,-3.59848928
793,Lig115,-3.4807992
794,Lig115,-3.45967674
795,Lig115,-3.43784571
796,Lig115,-3.42579675
797,Lig115,-3.40007329
798,Lig115,-3.35899615
799,Lig115,-3.30557299
800,Lig115,-3.2883637
801,Lig115,-3.25628519
802,Lig115,-3.25164485
803,Lig115,-3.23673797
804,Lig115,-3.22899675
805,Lig115,-3.20642686
806,Lig115,-3.18605828
807,Lig115,-3.18388796
808,Lig115,-3.13231945
809,Lig115,-3.1074121
810,Lig115,-3.09862757
811,Lig115,-3.09825516
812,Lig115,-3.09273076
813,Lig115,-3.08829117
814,Lig115,-3.07722378
815,Lig115,-3.07230234
816,Lig115,-3.04329062
817,Lig115,-3.01375389
818,Lig115,-2.95490384
819,Lig115,-2.93336415
820,Lig115,-2.92621493
821,Lig115,-2.9137702
822,Lig115,-2.89868307
823,Lig115,-2.8958087000000003
824,Lig115,-2.82163262
825,Lig115,-2.81800461
826,Lig116,-4.95100212
827,Lig116,-4.88267088
828,Lig116,-4.6889019
829,Lig116,-4.47671795
830,Lig116,-4.32769251
831,Lig116,-4.32107496
832,Lig116,-4.2190814
833,Lig116,-4.1765151
834,Lig116,-3.95006514
835,Lig116,-3.88653111
836,Lig116,-3.74041247
837,Lig116,-3.72289562
838,Lig116,-3.71523619
839,Lig116,-3.69866991
840,Lig116,-3.68111134
841,Lig116,-3.62879682
842,Lig116,-3.62569952
843,Lig116,-3.6206614999999998
844,Lig116,-3.61650991
845,Lig116,-3.60958576
846,Lig116,-3.56838465
847,Lig116,-3.52145028
848,Lig116,-3.51893449
849,Lig116,-3.50859141
850,Lig116,-3.47027516
851,Lig116,-3.43108249
852,Lig116,-3.42145443
853,Lig116,-3.33861065
854,Lig116,-3.30898857
855,Lig116,-3.28677058
856,Lig116,-3.2630055000000002
857,Lig116,-3.20103025
858,Lig116,-3.18774009
859,Lig116,-3.12655997
860,Lig116,-3.09975362
861,Lig116,-3.07819939
862,Lig116,-3.03573728
863,Lig116,-3.03060532
864,Lig116,-2.97541046
865,Lig116,-2.9674201
866,Lig116,-2.95574069
867,Lig116,-2.94900012
868,Lig116,-2.94735909
869,Lig116,-2.93150091
870,Lig116,-2.87959123
871,Lig116,-2.86206651
872,Lig116,-2.83142352
873,Lig116,-2.82831335
874,Lig116,-2.77658033
875,Lig116,-2.73198867
876,Lig117,-4.6039958
877,Lig117,-4.589221
878,Lig117,-4.40322304
879,Lig117,-4.40319443
880,Lig117,-4.31670332
881,Lig117,-4.30556107
882,Lig117,-4.21019173
883,Lig117,-4.16122007
884,Lig117,-4.15381575
885,Lig117,-4.00585175
886,Lig117,-3.90392232
887,Lig117,-3.86890936
888,Lig117,-3.81924367
889,Lig117,-3.80259776
890,Lig117,-3.7606349000000003
891,Lig117,-3.74577045
892,Lig117,-3.7205379
893,Lig117,-3.58817625
894,Lig117,-3.57725024
895,Lig117,-3.51864696
896,Lig117,-3.5122807000000003
897,Lig117,-3.51012683
898,Lig117,-3.47810555
899,Lig117,-3.46651578
900,Lig117,-3.460639
901,Lig117,-3.40262413
902,Lig117,-3.39670634
903,Lig117,-3.30053592
904,Lig117,-3.2806138999999996
905,Lig117,-3.24114823
906,Lig117,-3.24020839
907,Lig117,-3.18379855
908,Lig117,-3.17250681
909,Lig117,-3.14147496
910,Lig117,-3.14003181
911,Lig117,-3.11372995
912,Lig117,-3.10834455
913,Lig117,-3.08860135
914,Lig117,-3.08769751
915,Lig117,-3.02424026
916,Lig117,-2.95091057
917,Lig117,-2.90698123
918,Lig117,-2.89865065
919,Lig117,-2.81942415
920,Lig117,-2.796422
921,Lig117,-2.76674366
922,Lig117,-2.76249933
923,Lig117,-2.7534709
924,Lig117,-2.67060971
925,Lig117,-2.62872076
926,Lig118,-5.61172056
927,Lig118,-5.366961
928,Lig118,-5.15364027
929,Lig118,-5.09739304
930,Lig118,-4.93899584
931,Lig118,-4.8389883000000005
932,Lig118,-4.75989294
933,Lig118,-4.70923281
934,Lig118,-4.69250059
935,Lig118,-4.58316755
936,Lig118,-4.48083353
937,Lig118,-4.46053505
938,Lig118,-4.41321182
939,Lig118,-4.31915522
940,Lig118,-4.30763912
941,Lig118,-4.25229931
942,Lig118,-4.17384481
943,Lig118,-4.1446681000000005
944,Lig118,-4.09367561
945,Lig118,-4.06182194
946,Lig118,-4.02155399
947,Lig118,-4.01326561
948,Lig118,-4.00640869
949,Lig118,-4.00393534
950,Lig118,-3.9451983
951,Lig118,-3.90526128
952,Lig118,-3.78245521
953,Lig118,-3.76422286
954,Lig118,-3.68482757
955,Lig118,-3.57070184
956,Lig118,-3.55965662
957,Lig118,-3.52128696
958,Lig118,-3.49962735
959,Lig118,-3.45662427
960,Lig118,-3.45513344
961,Lig118,-3.4487927000000003
962,Lig118,-3.44625258
963,Lig118,-3.44241142
964,Lig118,-3.43123579
965,Lig118,-3.41809392
966,Lig118,-3.41540861
967,Lig118,-3.39774823
968,Lig118,-3.37809277
969,Lig118,-3.36683488
970,Lig118,-3.35851502
971,Lig118,-3.35838723
972,Lig118,-3.33048153
973,Lig118,-3.31256843
974,Lig118,-3.26419759
975,Lig118,-3.22771502
976,Lig119,-5.60461473
977,Lig119,-5.40863657
978,Lig119,-5.02756643
979,Lig119,-4.9318819000000005
980,Lig119,-4.89072227
981,Lig119,-4.8892293
982,Lig119,-4.74265814
983,Lig119,-4.71276522
984,Lig119,-4.59298849
985,Lig119,-4.52002954
986,Lig119,-4.47766733
987,Lig119,-4.39836788
