,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
81,172.csv : ,1,-9.72,-8.66,7,37
151,235.csv : ,1,-9.72,-8.78,7,27
22,119.csv : ,1,-9.72,-8.96,25,48
234,31.csv : ,1,-9.73,-9.04,8,4
280,351.csv : ,1,-9.73,-8.62,14,4
341,406.csv : ,1,-9.73,-9.59,25,21
268,340.csv : ,1,-9.73,-9.41,20,24
383,444.csv : ,1,-9.74,-8.60,8,21
251,325.csv : ,1,-9.74,-9.23,14,5
259,332.csv : ,1,-9.74,-9.51,47,7
27,123.csv : ,1,-9.75,-8.97,20,16
325,392.csv : ,1,-9.76,-9.21,31,2
7,105.csv : ,1,-9.76,-8.93,12,9
324,391.csv : ,1,-9.76,-8.67,4,10
214,292.csv : ,1,-9.76,-9.46,10,31
126,212.csv : ,1,-9.78,-9.38,3,22
223,30.csv : ,1,-9.79,-9.55,9,17
347,411.csv : ,1,-9.79,-9.53,18,29
424,62.csv : ,1,-9.79,-9.12,34,40
220,298.csv : ,1,-9.80,-9.53,44,48
418,57.csv : ,1,-9.80,-8.97,15,29
227,303.csv : ,1,-9.80,-9.70,46,12
308,377.csv : ,1,-9.80,-9.35,27,50
40,135.csv : ,1,-9.81,-8.74,13,5
228,304.csv : ,1,-9.81,-8.91,13,41
463,98.csv : ,1,-9.82,-9.26,37,31
32,128.csv : ,1,-9.82,-9.62,32,38
269,341.csv : ,1,-9.82,-9.61,44,16
464,99.csv : ,1,-9.82,-9.07,32,16
150,234.csv : ,1,-9.86,-8.82,28,23
91,181.csv : ,1,-9.86,-9.01,31,28
300,37.csv : ,1,-9.87,-8.53,6,48
121,208.csv : ,1,-9.87,-8.64,16,25
456,91.csv : ,1,-9.89,-9.47,8,42
315,383.csv : ,1,-9.89,-9.39,22,38
211,29.csv : ,1,-9.89,-9.11,21,44
50,144.csv : ,1,-9.89,-9.25,13,24
278,35.csv : ,1,-9.90,-9.90,1,5
229,305.csv : ,1,-9.90,-9.01,12,38
314,382.csv : ,1,-9.90,-8.95,17,46
215,293.csv : ,1,-9.91,-9.41,7,15
307,376.csv : ,1,-9.91,-9.29,36,30
98,188.csv : ,1,-9.91,-9.41,6,36
363,426.csv : ,1,-9.92,-9.67,9,44
281,352.csv : ,1,-9.92,-9.38,10,50
319,387.csv : ,1,-9.94,-8.72,3,20
245,32.csv : ,1,-9.95,-9.48,4,10
343,408.csv : ,1,-9.95,-9.53,12,17
152,236.csv : ,1,-9.95,-9.18,9,33
177,259.csv : ,1,-9.96,-9.53,7,42
1,10.csv : ,1,-9.97,-9.67,13,12
375,437.csv : ,1,-9.98,-9.85,47,50
405,464.csv : ,1,-9.99,-9.86,47,20
