LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
ZINC000575124622_entry_00292_conf_01,-63.3882,-53.3882,-2.75601,-22.2894,-0.196043,-9.23541,-18.7731,-2.53553,1166206,3.5309
ZINC000575124647_entry_00293_conf_01,-67.1323,-51.1323,-3.72957,-25.6158,-0.254977,-10.4742,-19.5106,-3.05147,1749807,5.43256
ZINC000575124647_entry_00294_conf_01,-65.1307,-47.1307,-3.61837,-24.852,-0.247375,-10.1619,-17.9837,-2.96049,1953848,6.23993
ZINC000616582453_entry_00295_conf_01,-71.5739,-47.5739,-3.40828,-25.9427,-0.234387,-10.6287,-17.2437,-2.86296,3192992,11.9746
ZINC000616582453_entry_00296_conf_01,-68.9397,-44.9397,-3.28284,-24.9879,-0.225761,-10.2375,-16.2888,-2.87249,3410251,12.6117
ZINC000616582683_entry_00297_conf_01,-71.5805,-53.5805,-3.97669,-27.3131,-0.273969,-11.1969,-20.4448,-3.25366,1991221,6.38112
ZINC000616582683_entry_00298_conf_01,-65.458,-49.458,-3.63655,-24.9769,-0.250536,-10.2392,-18.8717,-2.97536,1660994,5.24284
ZINC000616582813_entry_00299_conf_01,-69.2354,-53.2354,-4.07267,-26.9264,-0.277761,-11.0013,-20.7038,-3.29692,1539559,4.80515
ZINC000616582813_entry_00300_conf_01,-63.3278,-47.3278,-3.72517,-24.6289,-0.254061,-10.0626,-18.4063,-3.01561,1574765,4.87727
ZINC000616582904_entry_00301_conf_01,-71.1424,-53.1424,-3.95236,-27.1459,-0.27441,-11.1571,-20.2776,-3.23375,1904800,6.27406
ZINC000616582904_entry_00302_conf_01,-70.6609,-52.6609,-3.92561,-26.9622,-0.272553,-11.0816,-20.0939,-3.21186,1930092,6.27609
ZINC000616583702_entry_00303_conf_01,-68.4763,-48.4763,-3.42382,-25.2269,-0.235039,-10.3294,-17.8588,-2.85318,2410306,8.22479
ZINC000616583702_entry_00304_conf_01,-68.366,-46.366,-3.4183,-25.1862,-0.23466,-10.3127,-17.0814,-2.84858,2690354,9.47526
ZINC000616583781_entry_00305_conf_01,-70.6449,-52.6449,-3.71815,-26.4746,-0.254747,-10.8332,-19.729,-3.07152,2073490,6.78622
ZINC000616583781_entry_00306_conf_01,-70.8602,-52.8602,-3.72948,-26.5553,-0.255523,-10.8662,-19.8097,-3.08088,2234135,7.35223
ZINC000616589990_entry_00307_conf_01,-61.6113,-49.6113,-4.10742,-24.9822,-0.27852,-10.1873,-20.1164,-3.42285,1025353,2.86964
ZINC000616589990_entry_00308_conf_01,-53.2379,-41.2379,-3.54919,-21.5869,-0.241768,-8.81618,-16.7211,-2.95766,1053625,2.84235
ZINC000616591357_entry_00309_conf_01,-62.1577,-54.1577,-2.70251,-21.8568,-0.192238,-9.05614,-19.0437,-2.48631,930392,2.76013
ZINC000616591357_entry_00310_conf_01,-61.9064,-53.9064,-2.69158,-21.7684,-0.19146,-9.01952,-18.9553,-2.47626,951625,2.81569
