REC _TITLE1 TOTAL INTER INTRA RESTR VDW
327 118707521 -5.348 -12.473 3.143 0.000 -22.676
328 118707521 -7.790 -8.813 -1.385 0.000 -14.038
329 118707521 -11.103 -16.995 2.984 0.011 -22.345
330 118707521 -5.230 -11.105 2.233 0.000 -19.619
331 118707521 -14.025 -15.924 -0.504 0.000 -20.814
332 118707521 -6.931 -16.809 0.828 0.007 -21.849
333 118707521 -7.646 -15.210 0.034 0.000 -22.769
334 118707521 -15.106 -19.520 1.978 0.036 -26.074
335 118707521 -10.998 -10.762 -2.013 0.002 -20.114
336 118707521 -10.908 -13.047 -1.451 0.000 -22.479
337 118707521 -11.643 -19.212 -1.360 0.000 -23.288
338 118707521 -16.105 -17.681 -1.570 0.000 -25.231
339 118707521 -15.107 -14.343 -3.223 0.000 -18.044
340 118707521 -6.182 -12.261 2.808 0.000 -18.377
341 118707521 -5.637 -15.814 2.583 0.000 -20.863
342 118707521 -10.759 -15.934 1.489 0.000 -20.344
343 118707521 -15.012 -16.679 -1.590 0.006 -24.789
344 118707521 -7.791 -12.163 1.215 0.000 -17.574
345 118707521 -7.423 -9.996 -0.577 0.000 -18.690
346 118707521 -8.133 -9.819 -0.761 0.000 -19.103
347 118707521 -11.385 -12.860 -1.121 0.000 -19.508
348 118707521 -4.498 -8.734 0.748 0.000 -15.651
349 118707521 -11.948 -11.559 -2.167 0.023 -20.003
350 118707521 -11.128 -8.944 -4.272 0.000 -18.185
351 118707521 -14.654 -18.958 0.490 0.000 -21.819
352 118707521 -10.191 -15.427 1.420 0.016 -20.467
353 118707521 -10.183 -9.552 -2.377 0.000 -17.101
354 118707521 -11.896 -15.782 -0.087 0.000 -22.273
355 118707521 -11.452 -14.677 0.784 0.000 -18.388
356 118707521 -10.455 -11.910 -0.304 0.000 -16.745
357 118707521 -13.182 -16.005 1.079 0.000 -21.325
358 118707521 -6.586 -7.712 -0.764 0.000 -14.791
359 118707521 -11.226 -11.816 -1.845 0.000 -18.023
360 118707521 -10.686 -11.544 -2.324 0.015 -17.479
361 118707521 -11.108 -14.271 -0.830 0.000 -19.002
362 118707521 -10.736 -14.893 0.254 0.000 -20.497
363 118707521 -4.294 -11.032 -2.320 0.000 -15.687
364 118707521 -15.683 -13.759 -4.341 0.000 -19.873
365 118707521 -3.952 -4.705 -1.712 0.000 -17.493
